bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;jenis_perkebunan;produktivitas;satuan
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Tembakau;;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Tembakau;906;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Tembakau;;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Tembakau;750;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Tembakau;;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Tembakau;600;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Tembakau;1450;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Tembakau;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Tembakau;;kg per ha
11;Aceh;1173;Kota Langsa;2021;Tembakau;;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Tembakau;;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Tembakau;;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Nilam;;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Nilam;183;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Nilam;193;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Nilam;125;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Nilam;;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Nilam;;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Nilam;195;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Nilam;181;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Nilam;;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Nilam;160;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Nilam;200;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Nilam;136;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Nilam;169;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Nilam;100;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Nilam;16;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Nilam;179;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Nilam;;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Nilam;;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Nilam;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Nilam;;kg per ha
11;Aceh;1173;Kota Langsa;2021;Nilam;;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Nilam;;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Nilam;;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Kemiri;;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Kemiri;604;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Kemiri;357;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Kemiri;700;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Kemiri;326;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Kemiri;354;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Kemiri;;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Kemiri;632;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Kemiri;563;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Kemiri;1195;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Kemiri;796;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Kemiri;;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Kemiri;740;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Kemiri;;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Kemiri;864;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Kemiri;;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Kemiri;293;kg per ha
11;Aceh;1118;Kabupaten Pidie Jaya;2021;Kemiri;293;kg per ha
11;Aceh;1171;Kota Banda Aceh;2021;Kemiri;;kg per ha
11;Aceh;1172;Kota Sabang;2021;Kemiri;400;kg per ha
11;Aceh;1173;Kota Langsa;2021;Kemiri;;kg per ha
11;Aceh;1174;Kota Lhokseumawe;2021;Kemiri;844;kg per ha
11;Aceh;1175;Kota Subulussalam;2021;Kemiri;983;kg per ha
11;Aceh;1101;Kabupaten Simeulue;2021;Serewangi;;kg per ha
11;Aceh;1102;Kabupaten Aceh Singkil;2021;Serewangi;80;kg per ha
11;Aceh;1103;Kabupaten Aceh Selatan;2021;Serewangi;156;kg per ha
11;Aceh;1104;Kabupaten Aceh Tenggara;2021;Serewangi;150;kg per ha
11;Aceh;1105;Kabupaten Aceh Timur;2021;Serewangi;115;kg per ha
11;Aceh;1106;Kabupaten Aceh Tengah;2021;Serewangi;160;kg per ha
11;Aceh;1107;Kabupaten Aceh Barat;2021;Serewangi;;kg per ha
11;Aceh;1108;Kabupaten Aceh Besar;2021;Serewangi;400;kg per ha
11;Aceh;1109;Kabupaten Pidie;2021;Serewangi;;kg per ha
11;Aceh;1110;Kabupaten Bireuen;2021;Serewangi;;kg per ha
11;Aceh;1111;Kabupaten Aceh Utara;2021;Serewangi;200;kg per ha
11;Aceh;1112;Kabupaten Aceh Barat Daya;2021;Serewangi;190;kg per ha
11;Aceh;1113;Kabupaten Gayo Lues;2021;Serewangi;170;kg per ha
11;Aceh;1114;Kabupaten Aceh Tamiang;2021;Serewangi;;kg per ha
11;Aceh;1115;Kabupaten Nagan Raya;2021;Serewangi;4;kg per ha
11;Aceh;1116;Kabupaten Aceh Jaya;2021;Serewangi;;kg per ha
11;Aceh;1117;Kabupaten Bener Meriah;2021;Serewangi;441;kg per ha
